Title,Price,Star,Rating,Genre,Badge,Url,ASIN
The Grinny Granny Donkey,$7.99,4.8 out of 5 stars,144,Empty,Empty,https://www.amazon.com//Grinny-Granny-Donkey-Craig-Smith/dp/1338692275/ref=sr_1_56?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-56,1338692275
Make Life Beautiful,$21.59,3.5 out of 5 stars,229,in Work Life Balance in Business,Best Seller,https://www.amazon.com//Make-Life-Beautiful-Shea-McGee/dp/0785233873/ref=sr_1_57?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-57,0785233873
Dearly: New Poems,$19.59,4.6 out of 5 stars,19,Empty,Empty,https://www.amazon.com//Dearly-New-Poems-Margaret-Atwood/dp/006303249X/ref=sr_1_58?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-58,006303249X
Once a Warrior: How One Veteran Found a New Mission Closer to Home,$17.55,4.9 out of 5 stars,63,in Afghan War Biographies,Best Seller,https://www.amazon.com//Once-Warrior-Veteran-Mission-Closer/dp/0593189353/ref=sr_1_59?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-59,0593189353
Sam the Cooking Guy: Recipes with Intentional Leftovers,$22.23,4.9 out of 5 stars,134,Empty,Empty,https://www.amazon.com//Sam-Cooking-Guy-Intentional-Leftovers/dp/1682686027/ref=sr_1_60?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-60,1682686027
The Noel Letters (The Noel Collection),$13.38,4.8 out of 5 stars,404,Empty,Empty,https://www.amazon.com//Noel-Letters-Collection/dp/1982129603/ref=sr_1_61?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-61,1982129603
Barack Obama Book: The Biography of Barack Obama,$12.99,3.5 out of 5 stars,17,in Ethnic Demographic Studies,Best Seller,https://www.amazon.com//Barack-Obama-Book-Biography/dp/B08N3J9DJ6/ref=sr_1_62?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-62,B08N3J9DJ6
Warriors: The Broken Code #4: Darkness Within,$15.99,4.8 out of 5 stars,168,Empty,Empty,https://www.amazon.com//Warriors-Broken-Code-Darkness-Within/dp/0062823728/ref=sr_1_63?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-63,0062823728
The Cold Millions: A Novel,$14.99,4.5 out of 5 stars,168,Empty,Empty,https://www.amazon.com//Cold-Millions-Novel-Jess-Walter-ebook/dp/B083JKN5MF/ref=sr_1_64?dchild=1&fst=as%3Aoff&qid=1605801212&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-64,B083JKN5MF
Marauder (The Oregon Files Book 15),$14.99,4.8 out of 5 stars,469,Empty,Empty,https://www.amazon.com//Marauder-Oregon-Files-Book-15-ebook/dp/B082H2Q6QY/ref=sr_1_65?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-65,B082H2Q6QY
